material;descricao;categoria
31_000000279;BROCA CONICA AR 10,5MM DIN-345  TWILL;Rotativas
31_000000283;BROCA CONICA AR 14,0MM DIN-345;Rotativas
31_000000262;BROCA PARA. AR 6,0 DIN338 TWILL / DORMER;Rotativas
31_000021908;DISCO CORTE 115x1,0x22 AI ABF-4 P/ INOX;Abrasivos
31_000011072;DISCO CORTE 4.1/2''x1/8''x7/8'' ALCAR;Abrasivos
31_000011073;DISCO CORTE 7''x1/8''x7/8'' fab. ALCAR;Abrasivos
31_000000346;DISCO DE CORTE 230X2X32MM SK6AA;Abrasivos
31_000001089;"DISCO DESB.4.1/2""x1/4''x7/8'' / 115x6,4";Abrasivos
31_000006148;FRESA TOPO R216.34-10050-AK22H Ø10,0mm;Rotativas
31_000002453;REBOLO 152X19X31,75 A80N6V13 RT.;Abrasivos
31_000001837;REBOLO P.M 25x38 DR-30 C221 haste40x6,35;Abrasivos
31_000010492;SERRA CIRCULAR. 285 x 2,0 x 32 80Z;Serra e Lima
31_000028812;SERRA CIRCULAR.285 x 2,0 x 1,7 x 32 x 60;Serra e Lima
31_000000312;"SERRA FITA 1""x4-6x3,50M M-42";Serra e Lima
31_000000284;BROCA CONICA AR 15,0MM DIN-345 TWILL;Rotativas
31_000000286;BROCA CONICA AR 16,0MM DIN-345(DORMER);Rotativas
31_000001476;BROCA CONICA AR 20,0MM DIN-345;Rotativas
31_000024583-R;BROCA ESC. MD D4,20x14 (24583-AFIADA);Rotativas
31_000025541;BROCA MD Ø 14,1X65XD14X115L ALCRONA;Rotativas
31_000000258;BROCA PAR. AR  5,0 DIN338 TWILL / DORMER;Rotativas
31_000000252;BROCA PARALELA AR  3,8MM;Rotativas
31_000022676;CALÇO CT16476 WPSTN33 P/MTJNR/L;Acessórios de torno
31_000000222;CALÇO P/PORTA FERR.170.3-852;Porta Ferramentas
31_000023083;INSERTO TCMT 110208-LM MC7025;Insertos
31_000027591;INSERTO TNMG 160412 RS MP9015;Insertos
31_000028555;INSERTO TNMG 160412 UR YG3020 (YG1);Insertos
31_000000185;MACHO MAQ. M6+0,05 DIN 371;Rotativas
31_000021009;PARAFUSO CS350860T / 5513.020.09;Acessórios de torno
31_000022680;PARAFUSO PS05.050.250 (SCLS105) MTJNR/L;Acessórios de torno
31_000026789;PINO LLP 14;Acessórios de torno
31_000023719;PORTA FERR. AR15 2020 W4 CANAL LARG. 4,0;Porta Ferramentas
31_000001598;PORTA FERRAMENTA MTJNR 2020 K-16;Porta Ferramentas
31_000000254;BROCA PAR. AR 4,0 DIN338 TWILL / DORMER;Rotativas
31_000000271;BROCA PAR. AR 8,0 DIN338 TWILL / DORMER;Rotativas
31_000000255;BROCA PARALELA AR  4,1MM DIN 338;Rotativas
31_000000256;BROCA PARALELA AR  4,2MM;Rotativas
31_000000259;BROCA PARALELA AR  5,1MM DIN 338;Rotativas
31_000001088;"DISCO DESB.7""x1/4''x7/8'' / 178x6,4x22,2";Abrasivos
31_000001959;INSERTO TNGA 160408-HTI 05T;Insertos
31_000004381;INSERTO VCMW 160408 HTI10;Insertos
31_000000191;LIMA ROT. ESF.-6x5,4x4-6x50 TYROLIT;Serra e Lima
31_000012419;LIMA ROTATIVA  SKM 0613 3S Z3P;Serra e Lima
31_000000193;LIMA ROTATIVA 472.501.20;Serra e Lima
31_000018206;LOGOTIPO MARC. MÊS E ANO 2024 FI-251-CT;Logotipo
31_000000181;MACHO MAQ. HEL. M8x1,25 260/2 OX FAB.OSG;Rotativas
31_000019048;REBOLO 203,2x25,4x31,75  A60N6V13;Abrasivos
31_000002995;REBOLO P.M 13x25 DR30 C187 haste 40x6,35;Abrasivos
31_000004803;BROCA MD 5,0 mm DIN 338 C/ EX-TREME;Rotativas
31_000000277;BROCA PAR. AR  9,0 DIN338 TWILL / DORMER;Rotativas
31_000006146;FRESA FTR MD3C Ø6x20xD6x60L XTR 21260600;Rotativas
31_000006147;FRESA FTR MD4C Ø8x25xD8x80L FUT 88422074;Rotativas
31_000012811;INSERTO TNMG 160408- TF IC908;Insertos
31_000002887;INSERTO TPEN 2204 PDR F7030;Insertos
31_000028333;LOGOTIPO 39 2H44310 FI 016 CT;Logotipo
31_000000184;MACHO MAQ. M5 6H 250/1 DIN 371;Rotativas
31_000009910;REBOLO P.MONTADA  C170 DRV Haste 3,17mm;Abrasivos
31_000000249;BROCA PAR. AR 3,0MM D-338 TWIIL / DORMER;Rotativas
31_000000268;BROCA PAR. AR 6,9 DIN-338 TWILL / DORMER;Rotativas
31_000019705;INSERTO BDMT 11T308ER-JT PR1210;Insertos
31_000026021;MACHO MAQ. M10x1,25 5HX  OIL-MT ES ALTIN;Rotativas
31_000000183;MACHO MAQ. M4X0,7 116/2 ANSI  fab. OSG;Rotativas
31_000002996;REBOLO P.M 8x20 DR30 C187 haste 40x6,35;Abrasivos
31_000000240;BROCA PARALELA AR  1,5MM;Rotativas
31_000000203;"LIMA FACA M-8""  STARRET";Serra e Lima
31_000000194;LIMA MEIA CANA BASTARDA  B-6''  STARRETT;Serra e Lima
31_000028191;LOGOTIPO 006297/2019 2YA02310 FI xxx CT;Logotipo
31_000028192;LOGOTIPO 006298/2019 2YA05310 FI xxx CT;Logotipo
31_000028271;LOGOTIPO 008011/2019 INM. 32/54/55/73320;Logotipo
31_000028281;LOGOTIPO 008013/2019 INMETRO 2H37/73310;Logotipo
31_000028278;LOGOTIPO 44 2H73310 FI 008 CT;Logotipo
31_000028272;LOGOTIPO INSIDE 2H54320 FI-006 CT;Logotipo
31_000025887;LOGOTIPO MARC. FI-007 DRIVE (3H69130);Logotipo
31_000027151;LOGOTIPO MARC. MUSASHI 41 (2YA03310);Logotipo
31_000027150;LOGOTIPO MARC. Nº 40 MUSASHI (2YA05310);Logotipo
31_000028277;LOGOTIPO MUSASHI 2H24/32/54/73320;Logotipo
31_000028282;LOGOTIPO MUSASHI 2H73310 FI 009 CT;Logotipo
31_000000250;BROCA PAR. AR 3,3 DIN 338 TWILL / DORMER;Rotativas
31_000000247;BROCA PARALELA AR  2,0MM DIN-338;Rotativas
31_000000248;BROCA PARALELA AR  2,5MM DIN 338;Rotativas
31_000011476;INSERTO ROSCA INT. WT16 IR G60 WM 2020;Insertos
31_000022792;INSERTO TPGX 080208-HTI10;Insertos
31_000000189;LIMA AGULHA MEIA CANA M-140MM;Serra e Lima
31_000000202;"LIMA FACA M-6"" MURÇA C/CABO STARRET";Serra e Lima
31_000028280;LOGOTIPO 008012-2019INMETRO2H23/25/27310;Logotipo
31_000028785;LOGOTIPO 2H40/73310 DIVERSO-FI-254-CT;Logotipo
31_000013343;LOGOTIPO 3,5mm FI001CT (3H29110/3H82110);Logotipo
31_000028820;LOGOTIPO DIVERSO-FI-263-CT;Logotipo
31_000014719;LOGOTIPO GF6 14T 2H32320-FI-012-CT;Logotipo
31_000014720;LOGOTIPO INSIDE 2H32/55320;Logotipo
31_000028274;LOGOTIPO INSIDE 2H73320 FI 006 CT;Logotipo
31_000028275;LOGOTIPO KBP 15T 2H73320 FI-007 CT;Logotipo
31_000028273;LOGOTIPO KWF E1 16T 2H54320 FI-008 CT;Logotipo
31_000025413;LOGOTIPO MARC. MIN TH 3,5mm (3H69130);Logotipo
31_000027148;LOGOTIPO MARC. Nº 39T MUSASHI (2YA02310);Logotipo
31_000028666;LOGOTIPO MARCAÇÃO INMETRO 2H72320-FI-002;Logotipo
31_000028665;LOGOTIPO MARCAÇÃO K62 14T / MUSASHI;Logotipo
31_000028332;LOGOTIPO MUSASHI 2H23/25/44310;Logotipo
31_000000186;MACHO MAQ. M6 6H 250/1 DIN 371;Rotativas
31_000001670;MACHO MAQ. M8x1,25 260/1 DIN 376-OX  OSG;Rotativas
31_000002915;BROCA CENTRO AR HSCO Ø3x7,5x10x55L;Rotativas
31_000027792;BROCA CENTRO MD 2C Ø3x7,5xD10x55L S/COB;Rotativas
31_000024583;BROCA ESC. MD D4,20x14,9xD5 88424001-T3;Rotativas
31_000028158;CALÇO MD DW0198Z (P/SUPORTE MTLNR/L);Acessórios de torno
31_000009898;CHAVE TORX T20;Acessórios de torno
31_000004753;DRESSADOR SINTETI. 55º R0,5 DES:97395105;Dressadores
31_000005443;FRESA DE TOPO RETO 7226-16 Ø16,0 mm;Rotativas
