"Material","Texto breve material","Lote","Data de lançamento","Qtd.  UM registro","Montante em MI","Tipo de movimento","Nome do usuário","Hora do registro","Data de entrada","Centro","Depósito","Item doc.material","Doc.material","Unid.prç.pedido","Referência","Fornecedor","Pedido","Item",
"31_000000375","PARAFUSO 5513.020.01","","2026-02-27","-2","-15.98","201","310008371","23:49:37","2026-02-26","3110","1070","2","4932591823","","","","","0",
"31_000026691","BROCA MDØ10,6x10xD17,25x1,3x20x90l ALNOV","","2026-02-06","-1","-539.43","201","310004565","23:48:57","2026-02-05","3110","1070","1","4931371683","","","","","0",
"31_000026723","INSERTO ICP 106 IC908","","2026-02-28","-1","-397.76","201","310008371","23:43:26","2026-02-27","3110","1070","1","4932657963","","","","","0",
"31_000028812","SERRA CIRCULAR.285 x 2,0 x 1,7 x 32 x 60","","2026-01-25","-1","-732.28","201","310008371","23:43:05","2026-01-24","3110","1070","2","4930573857","","","","","0",
"31_000027456","INSERTO DGN 2202C IC 354","","2026-01-17","-2","-92.78","201","310008371","23:38:43","2026-01-16","3110","1070","1","4930129491","","","","","0",
"31_000010613","BRUNIDOR SINT ( MS-20 ) 3,5x7,1x29,9x1,5","","2026-02-21","-8","-443.36","201","310004565","23:34:04","2026-02-20","3110","1070","1","4932232416","","","","","0",
"31_000008851","PARAFUSO SR 14-551 P/CALÇO SVJNL-11","","2026-01-21","-1","-21.97","201","310008371","23:31:40","2026-01-20","3110","1070","3","4930329826","","","","","0",
"31_000010759","INSERTO VNMG 12T308-NF IC907","","2026-01-21","-6","-226.26","201","310008371","23:31:40","2026-01-20","3110","1070","1","4930329826","","","","","0",
"31_000027764","INSERTO GIMIY 304  IC808","","2026-01-21","-1","-40.96","201","310008371","23:31:40","2026-01-20","3110","1070","2","4930329826","","","","","0",
"31_000015192","PARAFUSO TS25   ( MITSUBISHI )","","2026-02-14","-4","-60.52","201","310004565","23:31:20","2026-02-13","3110","1070","1","4931862844","","","","","0",
"31_000021009","PARAFUSO CS350860T / 5513.020.09","","2026-02-14","-4","-78.28","201","310004565","23:31:20","2026-02-13","3110","1070","2","4931862844","","","","","0",
"31_000028274","LOGOTIPO INSIDE 2H73320 FI 006 CT","","2026-01-24","-1","-411.86","201","310008371","23:31:13","2026-01-23","3110","1070","1","4930536794","","","","","0",
