"Material","Texto breve material","Lote","Data de lançamento","Qtd.  UM registro","Montante em MI","Tipo de movimento","Nome do usuário","Hora do registro","Data de entrada","Centro","Depósito","Item doc.material","Doc.material","Unid.prç.pedido","Referência","Centro custo","Fornecedor","Pedido","Item","Texto cab.documento","Motivo do movimento","Reserva",
"31_000000375","PARAFUSO 5513.020.01","","2026-02-27","-2","-15.98","201","310008371","23:49:37","2026-02-26","3110","1070","2","4932591823","","","3100172","","","0","","0","1397465556",
"31_000026691","BROCA MDØ10,6x10xD17,25x1,3x20x90l ALNOV","","2026-02-06","-1","-539.43","201","310004565","23:48:57","2026-02-05","3110","1070","1","4931371683","","","3100173","","","0","","0","1379675322",
"31_000026723","INSERTO ICP 106 IC908","","2026-02-28","-1","-397.76","201","310008371","23:43:26","2026-02-27","3110","1070","1","4932657963","","","3100173","","","0","","0","1395692829",
"31_000028812","SERRA CIRCULAR.285 x 2,0 x 1,7 x 32 x 60","","2026-01-25","-1","-732.28","201","310008371","23:43:05","2026-01-24","3110","1070","2","4930573857","","","3100111","","","0","","0","1370301678",
"31_000027456","INSERTO DGN 2202C IC 354","","2026-01-17","-2","-92.78","201","310008371","23:38:43","2026-01-16","3110","1070","1","4930129491","","","3100128","","","0","","0","1365839805",
"31_000010613","BRUNIDOR SINT ( MS-20 ) 3,5x7,1x29,9x1,5","","2026-02-21","-8","-443.36","201","310004565","23:34:04","2026-02-20","3110","1070","1","4932232416","","","3100162","","","0","","0","1392297810",
"31_000008851","PARAFUSO SR 14-551 P/CALÇO SVJNL-11","","2026-01-21","-1","-21.97","201","310008371","23:31:40","2026-01-20","3110","1070","3","4930329826","","","3100155","","","0","","0","1368258165",
"31_000010759","INSERTO VNMG 12T308-NF IC907","","2026-01-21","-6","-226.26","201","310008371","23:31:40","2026-01-20","3110","1070","1","4930329826","","","3100155","","","0","","0","1368258165",
"31_000027764","INSERTO GIMIY 304  IC808","","2026-01-21","-1","-40.96","201","310008371","23:31:40","2026-01-20","3110","1070","2","4930329826","","","3100155","","","0","","0","1368258165",
"31_000015192","PARAFUSO TS25   ( MITSUBISHI )","","2026-02-14","-4","-60.52","201","310004565","23:31:20","2026-02-13","3110","1070","1","4931862844","","","3100147","","","0","","0","1386122507",
