Material;Texto breve material;Data de lançamento;Qtd.  UM registro;Montante em MI;Tipo de movimento;Hora do registro;Data de entrada;Centro custo;Setor
31_000000375;PARAFUSO 5513.020.01;2026-02-27;-2.0;-15.98;201;23:49:37;2026-02-26;3100172;172
31_000026691;BROCA MDØ10,6x10xD17,25x1,3x20x90l ALNOV;2026-02-06;-1.0;-539.43;201;23:48:57;2026-02-05;3100173;173
31_000026723;INSERTO ICP 106 IC908;2026-02-28;-1.0;-397.76;201;23:43:26;2026-02-27;3100173;173
31_000028812;SERRA CIRCULAR.285 x 2,0 x 1,7 x 32 x 60;2026-01-25;-1.0;-732.28;201;23:43:05;2026-01-24;3100111;111
31_000027456;INSERTO DGN 2202C IC 354;2026-01-17;-2.0;-92.78;201;23:38:43;2026-01-16;3100128;128
31_000010613;BRUNIDOR SINT ( MS-20 ) 3,5x7,1x29,9x1,5;2026-02-21;-8.0;-443.36;201;23:34:04;2026-02-20;3100162;162
31_000008851;PARAFUSO SR 14-551 P/CALÇO SVJNL-11;2026-01-21;-1.0;-21.97;201;23:31:40;2026-01-20;3100155;155
31_000010759;INSERTO VNMG 12T308-NF IC907;2026-01-21;-6.0;-226.26;201;23:31:40;2026-01-20;3100155;155
31_000027764;INSERTO GIMIY 304  IC808;2026-01-21;-1.0;-40.96;201;23:31:40;2026-01-20;3100155;155
31_000015192;PARAFUSO TS25   ( MITSUBISHI );2026-02-14;-4.0;-60.52;201;23:31:20;2026-02-13;3100147;147
31_000021009;PARAFUSO CS350860T / 5513.020.09;2026-02-14;-4.0;-78.28;201;23:31:20;2026-02-13;3100147;147
31_000028274;LOGOTIPO INSIDE 2H73320 FI 006 CT;2026-01-24;-1.0;-411.86;201;23:31:13;2026-01-23;3100118;118
31_000027585;FRESA D3XR0.5-L15 VFHVRBD0300R05N015;2026-01-09;-2.0;-472.1;201;23:26:50;2026-01-08;3100474;474
31_000025284;INSERTO VBMT 160408 MP MC6015;2026-01-16;-7.0;-150.92;201;23:23:42;2026-01-15;3100159;159
31_000028713;INSERTO CCMT 060204E-FF2 TT010;2026-01-16;-3.0;-64.89;201;23:23:42;2026-01-15;3100159;159
31_000016989;INSERTO DNGA 150412 TO 1525 A66N;2026-01-22;-3.0;-149.79;201;23:22:27;2026-01-21;3100161;161
31_000019913;INSERTO TNGA 160408 AB 2010;2026-01-22;-5.0;-206.1;201;23:22:27;2026-01-21;3100161;161
31_000025811;INSERTO CNGA 120408 T7 WZ AB2010;2026-01-22;-4.0;-197.28;201;23:22:27;2026-01-21;3100161;161
31_000000181;MACHO MAQ. HEL. M8x1,25 260/2 OX FAB.OSG;2026-02-12;-1.0;-71.98;201;23:21:15;2026-02-11;3100471;471
31_000000185;MACHO MAQ. M6+0,05 DIN 371;2026-02-12;-1.0;-116.86;201;23:21:15;2026-02-11;3100471;471
31_000027456;INSERTO DGN 2202C IC 354;2026-02-19;-4.0;-185.56;201;23:20:47;2026-02-18;3100128;128
31_000026158;INSERTO CCMT 060204 WP PV720;2026-02-22;-5.0;-84.6;201;23:17:24;2026-02-21;3100124;124
31_000028849;INSERTO TCMT16T308 MP MP3025;2026-02-22;-4.0;-72.36;201;23:17:24;2026-02-21;3100124;124
31_000028853;INSERTO CNMG120408 HQ PV720;2026-02-22;-6.0;-114.96;201;23:17:24;2026-02-21;3100124;124
31_000022920;INSERTO CCMT 09T308 MM MC7025;2026-01-24;-8.0;-100.8;201;23:16:26;2026-01-23;3100172;172
31_000027591;INSERTO TNMG 160412 RS MP9015;2026-01-24;-1.0;-14.54;201;23:16:26;2026-01-23;3100172;172
31_000028163;INSERTO VNMG 160408 MP MC6025;2026-01-24;-5.0;-107.35;201;23:16:26;2026-01-23;3100172;172
31_000029074;INSERTO TNMG 160412-RK MC5115;2026-01-24;-3.0;-55.77;201;23:16:26;2026-01-23;3100172;172
31_000028641;INSERTO TNMG 160412N EG AC6030M;2026-01-27;-2.0;-44.4;201;23:16:12;2026-01-26;3100173;173
31_000029089;INSERTO VCMT 160408N-SU-AC6020M;2026-01-27;-3.0;-79.11;201;23:16:12;2026-01-26;3100173;173
31_000006000;INSERTO DNMG 150604-LP MC6015;2026-01-21;-1.0;-28.71;201;23:13:57;2026-01-20;3100133;133
31_000008767;INSERTO WNMG 06T308 MP MC6015;2026-01-21;-4.0;-43.16;201;23:13:57;2026-01-20;3100133;133
31_000013245;INSERTO TNMG 160408 SA UE6105;2026-01-21;-2.0;-29.14;201;23:13:57;2026-01-20;3100133;133
31_000022901;INSERTO TNMG 160412-SA UE6105;2026-01-21;-6.0;-87.18;201;23:13:57;2026-01-20;3100133;133
31_000022920;INSERTO CCMT 09T308 MM MC7025;2026-01-21;-2.0;-25.2;201;23:13:57;2026-01-20;3100133;133
31_000023789;INSERTO GY2M0400G080N-MM VP20RT;2026-01-21;-2.0;-73.44;201;23:13:57;2026-01-20;3100133;133
31_000019547;INSERTO VBGW 160408S-01525 L1-B, CBN060K;2026-02-18;-1.0;-253.96;201;23:12:14;2026-02-17;3100136;136
31_000029088;BRUNIDOR 3,5x8,15x30 ABN60202 CHAVETA;2026-02-13;-6.0;-529.68;201;23:11:34;2026-02-12;3100157;157
31_000018313;FRESA FTR MD Ø11x25xD12x75L XTR 88422084;2026-02-24;-1.0;-151.95;201;23:10:18;2026-02-23;3100471;471
31_000006148;FRESA TOPO R216.34-10050-AK22H Ø10,0mm;2026-02-24;-1.0;-181.01;201;23:08:42;2026-02-23;3100471;471
